X,Y
12,0
12,1
13,2
13,3
14,4
14,5
15,6
16,7
17,8
18,9
19,10
20,11
21,12
22,13
22,14
22,15
22,16
22,17
22,18
22,19
22,20
22,21
22,22
22,23
23,24
23,25
24,26
24,27
25,28
25,29
